ID,Procedure,Description,MapLayers,UnitID
TOT_WTDEP,TO BE DETERMINED,Average value of depth to seasonally high water table ,TO BE DETERMINED,feet
TOT_WILDFIRE_2012,TO BE DETERMINED,Percent area of wildfire in 2012,TO BE DETERMINED,percent
TOT_WILDFIRE_2011,TO BE DETERMINED,Percent area of wildfire in 2011,TO BE DETERMINED,percent
TOT_WILDFIRE_2010,TO BE DETERMINED,Percent area of wildfire in 2010,TO BE DETERMINED,percent
TOT_WDANN,TO BE DETERMINED,50 year mean annual runoff (mm) from McCabe and Wolock's Runoff Model 1951-2000,TO BE DETERMINED,millimeters
TOT_WD6190_SEP,TO BE DETERMINED,30 year (1971 - 2000) mean September number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_OCT,TO BE DETERMINED,30 year (1971 - 2000) mean October number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_NOV,TO BE DETERMINED,30 year (1971 - 2000) mean November number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_MAY,TO BE DETERMINED,30 year (1971 - 2000) mean May number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_MAR,TO BE DETERMINED,30 year (1971 - 2000) mean March number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_JUN,TO BE DETERMINED,30 year (1971 - 2000) mean June number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_JUL,TO BE DETERMINED,30 year (1971 - 2000) mean July number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_JAN,TO BE DETERMINED,30 year (1971 - 2000) mean January number of days of measurable precipitation (days) from 2.3km PRISM data,TO BE DETERMINED,days
TOT_WD6190_FEB,TO BE DETERMINED,30 year (1971 - 2000) mean February number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_DEC,TO BE DETERMINED,30 year (1971 - 2000) mean December number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_AUG,TO BE DETERMINED,30 year (1971 - 2000) mean August number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WD6190_APR,TO BE DETERMINED,30 year (1971 - 2000) mean April number of days of measurable precipitation (days) from 800 m PRISM data,TO BE DETERMINED,days
TOT_WBM_TAV_2012,TO BE DETERMINED,Average value of temperature (TAV) from the water balance model for 2000-2014,TO BE DETERMINED,degrees Celsius
TOT_WBM_STO_2012,TO BE DETERMINED,Average value of soil moisture storage (STO) from the water balance model for 2000-2014,TO BE DETERMINED,millimeters
TOT_WBM_SNW_2012,TO BE DETERMINED,Average value of snowfall (SNW) from the water balance model for 2000-2014,TO BE DETERMINED,millimeters
TOT_WBM_RUN_2012,TO BE DETERMINED,Average value of runoff (RUN) from the water balance model for 2000-2014,TO BE DETERMINED,millimeters
TOT_WBM_PPT_2012,TO BE DETERMINED,Average value of Precipitation (PPT) from the water balance model for 2000-2014,TO BE DETERMINED,millimeters
TOT_WBM_PET_2012,TO BE DETERMINED,Average value of potential evapotranspiration (PET) from the water balance model for 2000-2014,TO BE DETERMINED,millimeters
TOT_WBM_DT_TAV_2012,TO BE DETERMINED,Average value of temperature (TAV) from the water balance model for 2000-2014 detrended to 2012. ,TO BE DETERMINED,degrees Celsius
TOT_WBM_DT_STO_2012,TO BE DETERMINED,Average value of soil moisture storage (STO) from the water balance model for 2000-2014 detrended to 2012.,TO BE DETERMINED,millimeters
TOT_WBM_DT_SNW_2012,TO BE DETERMINED,Average value of snowfall (SNW) from the water balance model for 2000-2014 detrended to 2012. ,TO BE DETERMINED,millimeters
TOT_WBM_DT_RUN_2012,TO BE DETERMINED,Average value of runoff (RUN) from the water balance model for 2000-2014 detrended to 2012. ,TO BE DETERMINED,millimeters
TOT_WBM_DT_PPT_2012,TO BE DETERMINED,Average value of Precipitation (PPT) from the water balance model for 2000-2014 detrended to 2012. ,TO BE DETERMINED,millimeters
TOT_WBM_DT_PET_2012,TO BE DETERMINED,Average value of potential evapotranspiration (PET) from the water balance model for 2000-2014 detrended to 2012. ,TO BE DETERMINED,millimeters
TOT_WBM_DT_AET_2012,TO BE DETERMINED,Average value of actual evapotranspiration (AET) from the water balance model for 2000-2014 detrended to 2012. ,TO BE DETERMINED,millimeters
TOT_WBM_AET_2012,TO BE DETERMINED,Average value of actual evapotranspiration (AET) from the water balance model for 2000-2014,TO BE DETERMINED,millimeters
TOT_WB5100_SEP,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_OCT,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_NOV,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_MAY,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_MAR,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
TOT_WB5100_JUN,TO BE DETERMINED,50 year (1951-2000) average runoff (mm) from McCabe and Wolock's Runoff Model for,TO BE DETERMINED,millimeters
